UCINumeric,UCIAlpha,UCIName,Category
5032,OSS,Other small states,1
5033,SAS,South Asia,1
5034,SSA,Sub-Saharan Africa (developing only),1
5035,SSF,Sub-Saharan Africa (all income levels),1
5036,SST,Small states,1
5037,UMC,Upper middle income,1
5038,WLD,World,1
5039,G7,G7,1
5040,OEE,OECD - Europe,1
5041,NME,Non-OECD Member Economies,1
